순위,채널명,태그,일일 슈퍼챗수입,일일 슈퍼챗개수
1,가로세로연구소,"#가로세로연구소, #가세연","₩4,104,506",152
2,김용호연예부장,"#연예뉴스, #시사이슈","₩2,651,269",98
3,[공식] 새날,"#새날, #새가날아든다","₩2,401,332",82
4,딴지방송국,"#김어준, #다스뵈이다","₩2,231,444",73
5,강민TV,"#강민, #리마스터","₩2,005,304",75
6,스트리머 사또,"#리니지2M, #넷마블","₩1,870,559",210
7,김해꼬마tv,"#서태승, #라보티비","₩1,525,502",118
8,김영환TV,"#김영환, #김영환TV","₩1,521,519",106
9,중년게이머 김실장,"#리니지M, #리니지2M","₩1,476,081",368
10,동준사장tv,"#게이, #트랜스","₩1,454,759",50
11,수와진TV 👩‍❤‍👨,"#사랑, #수와진","₩1,405,896",133
12,미친연애TV,"#연애, #남자심리","₩1,266,274",40
13,유재일,"#유재일, #정치평론","₩1,247,507",51
14,뽕신 강문경 티브이,"#강문경, #나훈아","₩1,164,371",68
15,예랑가랑,"#가인학생, #방예린학생","₩1,111,432",302
16,오동지,"#오동지, #부산","₩813,054",34
17,강민TV,"#강민, #리마스터","₩807,728",21
18,강한솔TV,"#제2의나라, #강한솔","₩803,027",10
19,아야금AYAGEUM,"#아야금, #가야금","₩775,965",21
20,[ALTUBE] 김성현TV,"#스타크래프트, #StarCraft","₩750,961",176
21,주혜성_미녀 색소포니스트,"#주혜성, #알토색소폰","₩713,822",11
22,가로세로연구소,"#가로세로연구소, #가세연","₩706,226",21
23,따이TV,"#실시간, #Live","₩684,031",43
24,옥토끼한수애,"#한수애, #북한식당","₩675,331",20
25,이큐채널,"#홍준표, #황장수","₩660,759",38
26,동준사장tv,"#게이, #트랜스","₩645,922",35
27,너알아TV,"#너알아, #너알아tv","₩642,340",46
28,고주기오빠tv,"#대전, #고주기","₩631,877",18
29,고양이마대장,"#사랑, #고양이","₩611,377",13
30,점팔이  공식채널,"#점팔이, #점팔이JPY","₩605,297",11
31,자빱TV,"#마인크래프트, #마크상황극","₩605,067",81
32,일본인스타시오리しおり,"#일본, #시오리","₩598,558",51
33,하니윤정tv,"#가수품바하니윤정미스터트롯, #하니윤정","₩597,004",70
34,MINUE 노민우,"#MINUE, #노민우","₩573,758",36
35,BJ톨,"#시사뉴스, #사회운동","₩568,179",26
36,쌈돌이TV,"#모바일게임, #게임리뷰","₩565,626",32
37,손상대TV,"#손상대, #손상대TV","₩563,276",20
38,2022어벤저스,,"₩559,174",19
39,박현지 HyeonJI Park🎵 ❶,"#좋은노래, #박현지","₩550,170",17
40,비트로드,"#비트코인, #비트코인유튜버","₩550,013",2
41,Hyper Genius[초천재],"#한강, #손정민","₩549,049",26
42,ぱく家(박가네),"#썰, #일본","₩543,599",128
43,캡틴 김상호,"#장교, #ROTC","₩538,664",31
44,슈콘,"#비트코인, #이오스","₩531,721",62
45,랑쯔,"#리니지2m, #미르4","₩524,115",12
46,H.J.Freaks,"#hjfreaks, #bass","₩523,282",91
47,독고다이,"#김호중, #고맙소","₩510,027",6
48,품바청이,,"₩505,347",11
49,추가열TV [G.Y.CHOO],"#음악, #음악커버","₩505,249",29
