순위,채널명,태그,주간 최고 동시 시청자수
1,HYBE LABELS,"#빅히트, #BIGHIT","1,044,139명"
2,삼프로TV_경제의신과함께,"#주식, #투자","63,715명"
3,TBS 시민의방송,"#TBS, #김어준","61,782명"
4,ALL THE K-POP,"#k, #weekly","60,020명"
5,슈카월드,"#슈카, #경제","49,391명"
6,딴지방송국,"#김어준, #다스뵈이다","47,039명"
7,열린공감TV,"#열린공감, #열린민주당","40,556명"
8,가로세로연구소,"#가로세로연구소, #강용석","40,310명"
9,김용호연예부장,"#연예뉴스, #시사이슈","37,639명"
10,도시어부 Grrr,"#도시어부, #낚시","36,469명"
11,MBC Radio봉춘라디오,"#봉춘라디오, #라디오","35,726명"
12,MBCNEWS,"#mbc, #news","35,342명"
13,E트렌드,"#재테크, #주식전망","30,151명"
14,고발뉴스TV,"#고발뉴스, #이상호","28,501명"
15,KBS WORLD TV,"#KBSWorld, #KBS","27,644명"
16,채널A 뉴스,"#채널A, #채널에이","25,858명"
17,BIBO와 장난감,"#장난감, #자동차","24,676명"
18,The K-POP,"#K, #sbs","23,301명"
19,오른소리,"#자유한국당, #오른소리","21,542명"
20,입짧은햇님,"#먹방, #입짧은햇님","21,217명"
21,급식왕,"#급식왕, #급식걸즈","20,560명"
22,[팟빵방송국] 매불쇼,"#매불쇼, #정영진","20,530명"
23,이동형TV,"#이작가, #이이제이","20,355명"
24,JTBC News,"#JTBC, #뉴스","18,905명"
25,불도그,"#리니지, #불도그","18,695명"
26,박호두,"#박호두, #해외선물","18,415명"
27,시사타파TV,"#시사타파, #문재인","18,168명"
28,자빱TV,"#마인크래프트, #마크상황극","17,700명"
29,글자네 YouTube,"#메이플스토리, #메이플","17,577명"
30,이문주,"#이문주, #리니지","17,374명"
31,Selly Apex,"#Selly, #셀리","17,159명"
32,분당우리교회,"#분당우리교회, #우리교회","16,805명"
33,이스타TV,"#이스타, #이스타TV","16,490명"
34,[공식] 새날,"#새날, #새가날아든다","15,733명"
35,Super K-슈퍼개미김정환,"#주식투자, #주식투자","14,892명"
36,델리민주 Daily Minjoo,"#민주당, #더불어민주당","14,609명"
37,MBC 100분토론,"#정치, #경제","14,561명"
38,뉴스TVCHOSUN,"#TV조선, #뉴스","14,348명"
