순위,채널명,태그,일일조회수,일일 좋아요 수
1,BANGTANTV,"#BTS, #방탄소년단","8,487,486",1.9백만
2,BLACKPINK,"#K, #BLACKPINK","6,097,780",1.2백만
3,MBCNEWS,"#mbc, #news","6,618,575",7.2만
4,YTN news,"#YTN, #LIVE","5,551,866",5.6만
5,진성호방송,"#인물, #사회","3,344,570",20.5만
6,배승희 변호사,"#bae, #배승희","1,250,752",16.8만
7,트루피스truepeace-구독자 2만명가자,"#쇼츠, #shorts","2,558,397",8천
8,JTBC News,"#JTBC, #뉴스","2,207,801",1.8만
9,TBS 시민의방송,"#TBS, #김어준","1,313,805",6.6만
10,바라던 바다,"#바라던바다, #김고은","606,702",12.2만
11,성창경 TV,"#성창경, #KBS","781,754",10만
12,천뚱TV,"#천뚱, #먹방","1,433,088",3.2만
13,SBS Drama,"#SBS, #kdrama","1,546,337",1.7만
14,뻑가 PPKKa,"#이근, #가짜사나이","1,405,718",2.9만
15,tzuyang쯔양,"#大食い, #real","1,325,127",3.4만
16,열린공감TV,"#열린공감, #열린민주당","963,448",6.8만
17,SBS 뉴스,"#SBSNEWS, #sbs","1,376,260",1.7만
18,가로세로연구소,"#가로세로연구소, #가세연","802,368",5.8만
19,핑키팝토이,"#pinkypoptoy, #toys","1,340,524",1천
20,KBS News,"#뉴스, #kbs","1,198,688",1만
21,SPOTV,"#SPOTV, #스포티비","1,188,700",6천
22,[햄지]Hamzy,"#여자먹방, #먹방","1,010,623",2만
23,Wanyo mori,,"994,098",1.7만
24,JTBC Voyage,"#KDRAMA, #KPOP","1,035,129",6천
25,디글 :Diggle,"#Diggle, #디글","1,007,457",7천
26,삼프로TV_경제의신과함께,"#주식, #투자","841,723",2만
27,정치일학,"#정치일학, #김어준","606,709",4.4만
28,TOMORROW X TOGETHER OFFICIAL,"#TXT, #투모로우바이투게더","340,673",6.9만
29,ABBOT KINNEY BLVD,"#뮤지션, #힙합","979,199",3천
30,스브스케이팝 / SBS KPOP,"#인기가요, #SBS","560,372",4.3만
31,언론 알아야 바꾼다,"#정치, #뉴스","354,540",6.1만
32,채널A 뉴스,"#채널A, #채널에이","785,834",1.8만
33,JTBC Drama,"#K, #드라마","795,479",1.4만
34,청정구역,"#임영웅, #이찬원","790,382",1.2만
35,백크 Baekk,"#백크, #감스트","843,385",5천
36,Ox_Zung Squad,"#Tiktok, #mamaaa","596,436",2.8만
37,tvN D ENT,"#tvN, #D","786,076",9천
38,악인전 - 인물소개,"#인물, #인물소개","772,252",1만
39,문복희 Eat with Boki,"#먹방, #mukbang","651,099",1.9만
40,정치초단,"#뉴스, #윤석열","404,049",4.3만
41,Ace Art 에이스 아트,"#animation, #에이스아트","765,733",7천
42,진포터,"#해외반응, #외국반응","682,916",1.4만
43,Mnet Official,"#Mnet, #KPOP","741,362",7천
44,이봉규TV,"#이봉규, #이봉규tv","306,153",4.8만
45,한문철 TV,"#블랙박스, #과실비율","674,720",1.1만
46,Seokjinie⟭⟬,,"343,090",4.2만
47,신튜브 신혜식,,"297,535",4.5만
48,SBS Catch,"#스브스캐치, #드라마","632,759",1.1만
