순위,채널명,태그,주간 조회수,주간 좋아요 수
1,HYBE LABELS,"#빅히트, #BIGHIT","144,257,491",1.5천만
2,BANGTANTV,"#BTS, #방탄소년단","76,502,875",1.4천만
3,Ox_Zung Squad,"#Tiktok, #mamaaa","70,413,515",1.9백만
4,Wanyo mori,,"59,090,201",79.4만
5,MBCNEWS,"#mbc, #news","54,770,233",65.4만
6,Zero_sider,,"41,155,414",15.5만
7,진성호방송,"#인물, #사회","24,169,920",1.3백만
8,YTN news,"#YTN, #LIVE","32,118,477",28.6만
9,단편short,,"25,789,016",77.3만
10,SMTOWN,"#SuperJunior, #슈퍼주니어","16,868,373",87.5만
11,Jane ASMR 제인,"#asmr, #먹방","22,097,957",18.9만
12,광저우사입삼촌,,"19,998,382",11.4만
13,JTBC News,"#뉴스, #뉴스룸","18,647,597",18.8만
14,ENHYPEN,"#BELIFTLAB, #ENHYPEN","7,083,188",1.3백만
15,M2,"#M2, #엠투","11,767,451",67.2만
16,tvN D ENT,"#tvN, #D","16,630,259",12.2만
17,SBS 뉴스,"#SBSNEWS, #sbs","15,649,108",17.9만
18,(G)I-DLE (여자)아이들 (Official YouTube Channel),"#kpop, #gidle","11,949,863",45.7만
19,배승희 변호사,"#bae, #배승희","7,323,706",89.7만
20,김종국 GYM JONG KOOK,"#김종국, #짐종국","12,018,456",36.7만
21,대륙판눈요기TV,,"14,945,512",5만
22,tzuyang쯔양,"#大食い, #real","13,025,646",22.4만
23,JYP Entertainment,"#JYP, #jypentertainment","10,286,685",46만
24,KBS News,"#뉴스, #kbs","13,860,943",10.2만
25,Serena Art,"#Acrylic, #painting","12,977,426",13.5만
26,알고리즘의 신비,,"13,390,568",9.3만
27,엠뚜루마뚜루 : MBC 공식 종합 채널,"#엠뚜루마뚜루, #MBC","12,435,082",12만
28,스브스케이팝 / SBS KPOP,"#인기가요, #SBS","7,303,567",62.9만
29,Ace Art 에이스 아트,"#animation, #에이스아트","12,207,186",10.3만
30,계향쓰 GH'S,"#GH, #계향쓰","11,581,135",14.4만
31,TBS 시민의방송,"#TBS, #김어준","8,699,593",41.2만
32,BLACKPINK,"#K, #BLACKPINK","4,961,229",76.3만
33,KBS Kpop,"#음악, #K","8,801,473",35.6만
34,성창경 TV,"#성창경, #KBS","5,189,423",68.4만
35,바라던 바다,"#바라던바다, #김고은","7,473,717",42.6만
36,NCT DREAM,"#엔시티드림, #JISUNG","4,634,643",70.4만
37,[햄지]Hamzy,"#여자먹방, #먹방","9,823,816",18.1만
38,TWICE,"#TWICE, #트와이스","7,595,081",39.5만
39,KBS WORLD TV,"#KBSWorld, #KBS","7,624,617",38.4만
40,JTBC Voyage,"#KDRAMA, #KPOP","10,288,088",8.8만
41,Amazing Cooking - 놀라운 요리,"#Cooking, #stopmotion","10,982,039",3천
42,디글 :Diggle,"#diggle, #tvN","9,773,642",7.4만
43,뻑가 PPKKa,"#이근, #가짜사나이","8,098,183",19.5만
44,단골이슈,"#한국리얼리티, #대한뉴스","8,458,150",14.7만
45,쏘영 Ssoyoung,"#ASMR, #Ssoyoung","7,784,394",20.2만
46,6습,"#Minecraft, #Noteblock","8,013,794",17.6만
47,JTBC Drama,"#K, #드라마","8,108,183",15.9만
48,ALL THE K-POP,"#k, #weekly","4,713,994",49.5만
49,천뚱TV,"#천뚱, #먹방","8,220,600",14.4만
50,이큐채널,"#황장수, #신의한수","8,416,198",11.2만
51,TOMORROW X TOGETHER OFFICIAL,"#TXT, #투모로우바이투게더","3,617,376",58.2만
52,짧은 영상 shorts video,,"8,256,433",10.2만
53,런닝맨 - 스브스 공식 채널,"#유재석, #지석진","8,481,636",7.9만
54,ABBOT KINNEY BLVD,"#뮤지션, #힙합","8,875,576",3.4만
55,짧은 영상 채널 shorts video channel,,"8,488,435",6.1만
56,아는형님 Knowingbros,"#knowingbros, #형님","7,037,836",19.6만
57,이은지 저장소,"#이은지, #코빅이은지","8,032,543",6.9만
58,정치일학,"#정치일학, #김어준","5,270,911",34.4만
59,승비니,,"7,326,220",12.9만
60,놀면 뭐하니?,"#유재석, #유플래시","7,246,719",11.1만
61,문복희 Eat with Boki,"#먹방, #mukbang","6,762,937",15.1만
62,STUDIO CHOOM [스튜디오 춤],"#M2, #커버","4,944,126",33.1만
63,짤툰,"#짤툰, #만화","6,914,864",12.2만
