순위,채널명,태그,일일 슈퍼챗수입,일일 슈퍼챗개수
1,김해꼬마tv,"#서태승, #라보티비","₩3,771,987",199
2,가로세로연구소,"#가로세로연구소, #가세연","₩2,443,043",117
3,쌈돌이TV,"#모바일게임, #게임리뷰","₩2,272,756",49
4,열린공감TV,"#열린공감, #열린민주당","₩2,063,433",162
5,중년게이머 김실장,"#리니지M, #리니지2M","₩1,667,250",203
6,시사타파TV,"#시사타파, #문재인","₩1,365,887",77
7,LIMKILLER [림킬러골프TV],"#필드, #드라이버","₩1,316,473",31
8,이문주,"#이문주, #리니지","₩1,253,547",135
9,피집사,"#집사, #동물이슈","₩1,224,124",67
10,냉철tv,"#전업투자자, #전업투자","₩1,211,524",180
11,Erzhan,"#바카라, #이기는법","₩1,154,159",90
12,흑운장TV [BLACKTUBE],"#스타, #스타크래프트","₩1,149,519",43
13,유재일,"#유재일, #정치평론","₩1,122,566",56
14,도리도리 DooriDoori 비트코인 교육방송,"#암호화폐, #도리도리코인","₩1,089,712",42
15,이선옥TV,"#우먼스플레인, #기본권","₩1,085,789",81
16,BJ상만,"#아프리카BJ, #마약","₩1,003,988",18
17,수와진TV 👩‍❤‍👨,"#수와진, #사랑","₩943,391",101
18,논리왕 전기,"#전기, #머니게임","₩924,203",59
19,카광,"#윤덕규, #카광","₩911,352",252
20,이지성TV,"#독서, #강의","₩884,791",89
21,강민TV,"#강민, #리마스터","₩874,545",25
22,풍자테레비,"#풍자, #젠더","₩858,641",63
23,Super K-슈퍼개미김정환,"#주식투자, #주식투자","₩844,357",78
24,베짱이엔터테인먼트,"#무당, #점집","₩834,092",42
25,머프TV - 비트코인 실전단타,"#비트코인, #가상화폐","₩811,446",65
26,백브리핑,"#백총재, #백광현","₩794,470",29
27,박호두,"#박호두, #주식","₩786,955",93
28,질래's 펌핑tv,"#조질래, #질래","₩779,658",26
29,팔천사와강아지세상,"#반려견, #유기견","₩777,607",18
30,박완규 RWND,,"₩766,656",18
31,추니즘,"#라이즈, #추니즘","₩744,934",23
32,롯본기 김교수,"#일본, #동경","₩740,199",39
33,엠육법사Tv,"#법사, #리니지2m","₩730,117",7
34,나까무라tv,,"₩729,382",39
35,미디어워치TV,"#변희재, #박근혜","₩713,459",12
36,코인흥신소,"#비트코인, #암호화폐","₩692,883",19
37,야식이,"#야식, #야식이","₩659,175",22
38,Hyper Genius[초천재],"#한강, #손정민","₩653,106",38
39,지안스캣 Jian's Cat,"#고양이, #猫","₩649,896",31
40,동준사장tv,"#게이, #트랜스","₩646,348",36
41,미친연애TV,"#연애, #남자심리","₩644,534",48
42,제이슨박TV,"#마카오필리핀카지노, #도박중독","₩637,536",13
43,레오맘과 동행Leomam tv,"#레오맘, #김제시","₩626,382",48
44,나군TV MrNaTV,"#라오킹, #모바일게임","₩610,818",35
45,손봄향의 사생활,"#손봄향, #먹방","₩606,652",23
46,고양이뉴스,"#고양이뉴스, #원재윤","₩592,439",27
47,고누리,"#만화, #애니메이션","₩584,467",105
48,임성환TV,"#임성환, #노래강사임성환","₩583,386",28
49,필차트Feel Chart bitcoin,"#비트코인, #BTC","₩557,457",11
50,똘끼100%,"#비트코인, #코인","₩549,102",16
51,다썰남TV,"#투잡, #결혼","₩545,982",31
52,노돌리,"#노돌리, #머머리","₩543,496",46
53,슈콘,"#비트코인, #이오스","₩529,540",35
54,3분투자,"#비트코인, #알트코인","₩510,499",8
55,독고다이,"#김호중, #고맙소","₩508,593",9
56,[공식] 새날,"#새날, #새가날아든다","₩506,904",12
57,냥신TV,"#고양이, #나응식","₩499,663",33
58,하니윤정tv,"#가수품바하니윤정미스터트롯, #하니윤정","₩491,079",48
59,쌀이없어요,"#트랜스젠더, #트젠","₩487,895",12
60,로자르TV [배틀그라운드],"#배틀그라운드, #배그","₩471,695",15
61,박상운TV,#박상운라이브,"₩469,501",46
62,나리,"#리니지M, #리니지2m","₩468,703",6
63,창원가족TV,,"₩467,706",5
64,미디어A,"#자유, #정의","₩462,269",18
65,그려 안그려 최은혜TV,"#그려안그려최은혜tv, #풍금","₩458,731",18
66,죠니월드,"#로스트아크, #죠니월드","₩456,838",69
67,소행성612 주식방송,"#주식, #주식강의","₩447,779",51
68,DJ INA Official,"#koreandj, #djina","₩447,163",23
69,미사리TV,"#미사리라이브카페, #미사리","₩442,003",30
70,도니파크,"#박상돈, #팬텀싱어","₩433,396",19
71,고양이마대장,"#사랑, #고양이","₩433,001",9
72,바그냥,"#개그우먼, #미녀","₩432,686",104
73,톡송talksong,"#이호섭, #이채운","₩427,716",16
74,세드TV,"#세드, #모바일배그","₩415,351",101
75,임현정의마스카라,"#임현정, #트로트","₩388,924",12
76,두리광고3,"#명천, #박훈","₩387,889",23
77,유미스타,"#유미, #youme","₩386,358",9
78,블링쥬,"#모바일배그, #PUBGM","₩382,940",11
79,미스터원의 필리핀 라이프Mr Won,"#필리핀, #미스터원","₩380,946",15
80,안정모의 주식투자,"#주식, #주식투자","₩379,948",29
81,송광호TV작곡가,"#송광호, #미운사랑","₩369,309",11
82,산적TV 밥굽남,"#산적, #밥굽남","₩368,728",47
83,돌비공포라디오,"#공포라디오, #공포라디오돌비","₩366,296",36
84,명천가족TV,"#조폭, #건달","₩359,642",27
85,하면되겠지,#대깨문,"₩358,009",17
86,추가열TV [G.Y.CHOO],"#음악, #음악커버","₩357,013",19
87,미래대안행동,,"₩356,015",6
88,철민TV,"#양은이파, #영화보스","₩354,392",8
89,김세돈라이브통,"#통기타라이브, #미사리","₩352,346",53
90,담양오리,"#넷마블, #이문주","₩342,951",14
91,김동명,"#김동명, #부활","₩340,059",17
92,왕딸기TV,"#리니지, #리니지리마스터","₩336,997",11
93,쌈용,"#리니지M, #리니지2M","₩334,076",8
94,권승현,"#ENTJ, #스푸닝","₩332,960",51
95,닥표간장,"#명적, #안영","₩319,516",29
96,삼성이TV,"#창기tv, #추적자tv","₩315,390",8
97,제이와나 JAYWANA,"#고양이, #제이와나","₩312,851",31
98,다미 비트코인,"#바이비트, #박호두","₩309,597",24
99,럭키빽,"#스타크래프트, #빨무","₩309,529",11
100,김민서장구채널,"#김민서장구, #트로트장구","₩309,145",12
101,유상록TV,"#유상록, #유상록TV","₩307,801",5
102,일찐푸딩,"#흉가, #귀신","₩305,983",20
103,-Musica di Ferro철의음악,"#VLLO, #철의음악","₩304,035",7
104,더깊이10,"#아카데미, #시사","₩303,120",11
105,미기MIGI TV,"#미기쇼, #migi","₩302,108",12
106,창기TV,"#조폭, #건달","₩301,620",13
107,엠장기획,"#엠장기획, #잡스러운연애","₩298,574",16
108,정봉주 TV,"#정봉주, #정봉주tv","₩298,367",12
109,원진짱tv,,"₩296,606",9
110,이재EJ,"#메이크업, #남자메이크업","₩293,900",10
111,차명진TV,"#차명진, #차명진TV","₩286,397",15
112,내시십분,"#내시십분, #김영민","₩284,199",11
113,경덕[Gyeongdeok],"#흉가, #폐가","₩283,117",10
114,진향란노래TV*다시태어난 여자*,"#진향란노래TV, #전화노래자랑","₩279,227",15
115,주식김사부팀,"#주식, #주식교육","₩276,237",7
116,고성국TV,"#고성국TV, #고성국","₩274,337",14
117,나팔박 TV,"#나팔박, #애창곡, #나팔박","₩273,970",21
118,자빱TV,"#마인크래프트, #마크상황극","₩272,156",42
119,친친뮤직,"#보컬, #보컬트레이닝","₩270,738",11
120,갓마루TV,"#서든, #서든어택","₩269,997",5
121,크로커다일 남자훈련소,"#남자훈련소, #남자","₩263,713",35
122,까꿍프로_바둑채널,"#바둑, #게임","₩260,996",17
123,햄크루 HEMCREW,"#햄크루, #햄프리덤","₩255,094",7
124,신튜브 신혜식,,"₩254,544",7
125,홍단이Tv장민,"#공연, #장민tv","₩254,296",14
126,구르미gurumi,"#박호두, #비트코인","₩253,197",20
127,REMIXKOREA OFFICIAL,"#가요리믹스, #리믹스코리아","₩251,366",27
128,선호라이브TV,"#양선호, #선호라이브TV","₩250,311",16
129,빠다TV,,"₩249,310",4
130,홍시TV-유도트롯 홍시,"#가수홍시, #홍시","₩245,887",9
131,안될과학 Unrealscience,"#과학, #물리","₩245,423",25
132,김성룡 바둑랩,"#김성룡바둑랩, #김성룡","₩245,221",7
133,우주하마,"#병맛게임, #ㅋㅋㅋㅋ","₩244,823",100
134,메달리Golf DJ,"#골프, #아마추어","₩242,301",32
135,김마통kimmatong,"#김마통, #백수","₩241,588",23
136,수삼티비,"#리니지, #리니지2m","₩240,781",9
137,유니메드TV,"#유니메드TV, #나훈아","₩239,338",7
138,주식왕용느,"#용느, #주식","₩230,368",30
139,빠삐용Motor hub,"#오토바이, #모터사이클","₩229,365",7
140,핑키유니,"#핑키유니, #로블록스","₩229,365",12
141,손상대TV,"#손상대, #손상대TV","₩228,729",8
142,남영동대부업자,"#주식투자, #주식","₩228,363",7
143,안똘TV,"#dog, #cat","₩228,077",33
144,껨슈,"#게임, #플스","₩227,379",11
145,노마에TV,"#대구맛집, #ASMR","₩224,376",7
146,HITMAN 김선생,"#백수김선생, #선상낚시","₩223,880",8
147,디스이즈포유,"#NBA, #느바","₩221,798",33
148,박진주입니다 ParkJinJu,"#개그우먼, #보이시","₩219,393",7
149,작은거인 윤경tv,,"₩217,961",11
150,장윤철[쭉튜브],"#장윤철, #쭉튜브","₩215,641",12
151,PROKKO TV,"#피아노, #아프리카TV","₩214,407",10
152,TV러셀,"#아파트, #부동산","₩203,098",3
153,신의두뇌-비트코인 경제TV,"#암호화폐, #비트코인","₩199,448",3
154,팍오티비 POTV,"#태국, #국제커플","₩199,448",11
155,락맨TV,"#노무현, #문재인","₩197,564",10
156,폭군,"#리니지, #리니지리마스터","₩194,462",7
157,양나리 / Nari Yang 【NIJISANJI KR】,"#VTuber, #니지산지","₩193,651",27
158,엣지러브 edge love,"#bgm, #cafe","₩193,465",11
159,아선티비,"#배스, #배스낚시","₩193,287",24
160,박지은 9단,"#박지은9단, #바둑","₩191,470",14
161,혁찌니,"#노래, #기타","₩190,174",21
162,남규 NAMGYU,"#게이, #gay","₩189,822",11
163,이작가,,"₩187,784",32
164,"일본에서도 한번 살아보지, 뭐","#일본생활, #한일커플","₩184,399",12
165,BJ톨,"#시사뉴스, #사회운동","₩181,498",13
166,로또분석가,"#로또분석가, #로또명당","₩181,398",27
167,마오밴드MaoBand,"#탑골가요, #Maoband","₩180,401",10
168,오뽀가디언- 비트코인TV,"#비트코인, #오뽀","₩180,172",40
169,성환 라이브,"#가수, #성환","₩179,503",7
170,이송원TV,"#이송원, #김어준","₩178,476",12
171,김천돌집임홍진,,"₩176,998",18
172,긴급속보 홍철기,"#상식, #시사","₩176,956",5
173,문갑식의 진짜 TV,"#문갑식, #진짜","₩176,512",7
174,박훈TV,"#깡패, #건달","₩175,951",7
175,글자네 YouTube,"#메이플스토리, #메이플","₩175,790",20
176,CALLING GOD 콜링갓,"#기도, #기독교","₩175,514",12
177,엘베다&이렘TV Elveda&İremTV,"#터키, #터키여행","₩175,096",14
178,Brandteller4배기성강사,"#록펠러, #4차산업혁명","₩173,502",11
179,왕눈이에기,"#아부가르시아, #디오디오에기","₩172,024",9
180,구스TV,"#Aion, #창기TV","₩171,199",10
181,송작가TV,"#송작가, #시사","₩170,656",14
182,cpbc TV_가톨릭콘텐츠의 모든것,"#가톨릭평화방송, #cpbc","₩170,528",12
183,김꽁냥,"#고양이, #길냥이","₩169,537",4
184,가수 손세욱 TV,"#손세욱, #7080","₩169,531",10
185,박명원 TV,"#가수박명원, #박명원","₩169,531",12
186,쿠씨,"#낚시, #원투낚시","₩168,534",12
187,이로니 or 이세진,"#studywitmme, #스터디윗미","₩167,322",18
188,도건,"#도건, #리니지M","₩166,498",35
189,의정부 한울도령,"#하늘tv, #하늘티비","₩166,439",9
190,세아 스토리,"#버츄얼유튜버, #버츄얼","₩165,642",52
191,"주식단테-작전주,경제차트분석,주식전문","#증권, #주식초보","₩163,534",15
192,권승남의 구멍가게,"#가요교실, #통기타","₩161,042",6
193,[팟빵] 매불쇼,"#매불쇼, #정영진","₩160,257",12
194,꧁ঔৣ 포천광재ঔৣ꧂,#포천광재,"₩159,558",10
195,미남의운전교실,"#미남의운전교실, #초보운전","₩157,723",8
196,정의구현 박완석,"#박완석, #대머리","₩157,004",2
197,빙구가든 Bing goo garden,"#웰시코기, #강아지","₩155,684",4
198,고발뉴스TV,"#고발뉴스, #이상호","₩155,470",8
199,도봉박홍기,"#부동산, #강남","₩154,572",5
200,가수신나TV-매일오후4시,,"₩154,572",10
201,더 청라,"#청라국제도시, #청라총연","₩152,478",18
202,나스닥다우존스,"#주식, #차트","₩150,004",2
203,물망초TV,"#강아지, #고양이","₩149,592",2
204,고길동TV,,"₩149,586",2
205,만신장군 명인 김성주 선생님,"#만신장군, #명인","₩149,586",7
206,곽동수TV,"#곽쌤, #곽동수TV","₩146,999",5
207,표은지Eunji Pyoapple,"#표은지, #DJ","₩145,782",41
