순위,채널명,태그,주간_신규구독자,전체구독자
1,HYBE LABELS,"#빅히트, #BIGHIT","1,100,000명(1.9%)
                ","
                59,100,000
              "
2,BANGTANTV,"#BTS, #방탄소년단","700,000명(1.3%)
                ","
                53,700,000
              "
3,김종국 GYM JONG KOOK,"#김종국, #짐종국","350,000명(20%)
                ","
                1,750,000
              "
4,Wanyo mori,,"214,000명(55.7%)
                ","
                384,000
              "
5,BLACKPINK,"#K, #BLACKPINK","200,000명(0.3%)
                ","
                62,900,000
              "
6,나는 빡빡이다,"#스토리, #유튜브","135,000명(23.8%)
                ","
                567,000
              "
7,Hongyu ASMR 홍유,"#먹방, #asmr","110,000명(1.2%)
                ","
                9,350,000
              "
8,TWICE,"#TWICE, #트와이스","100,000명(0.9%)
                ","
                11,200,000
              "
9,Jane ASMR 제인,"#asmr, #먹방","100,000명(0.7%)
                ","
                13,800,000
              "
10,officialpsy,"#psy, #싸이","100,000명(0.7%)
                ","
                15,000,000
              "
11,KBS WORLD TV,"#KBSWorld, #KBS","100,000명(0.6%)
                ","
                16,500,000
              "
12,JYP Entertainment,"#JYP, #jypentertainment","100,000명(0.5%)
                ","
                21,300,000
              "
13,1theK (원더케이),"#1theK, #원더케이","100,000명(0.4%)
                ","
                23,100,000
              "
14,SMTOWN,"#SuperJunior, #슈퍼주니어","100,000명(0.4%)
                ","
                28,200,000
              "
15,ENHYPEN,"#BELIFTLAB, #ENHYPEN","90,000명(3%)
                ","
                3,000,000
              "
