순위,채널명,태그,최고 동시 시정자수
1,삼프로TV_경제의신과함께,"#주식, #투자","57,830명"
2,딴지방송국,"#김어준, #다스뵈이다","50,810명"
3,BIBO와 장난감,"#장난감, #자동차","32,971명"
4,가로세로연구소,"#가로세로연구소, #가세연","31,042명"
5,MBCNEWS,"#mbc, #news","26,197명"
6,[팟빵] 매불쇼,"#매불쇼, #정영진","20,056명"
7,[공식] 새날,"#새날, #새가날아든다","19,928명"
8,채널A 뉴스,"#채널A, #채널에이","19,733명"
9,E트렌드,"#주식전망, #재테크","19,245명"
10,박호두,"#박호두, #해외선물","17,569명"
11,고발뉴스TV,"#고발뉴스, #이상호","16,505명"
12,김용호연예부장,"#연예뉴스, #시사이슈","13,502명"
13,KBS WORLD TV,"#KBSWorld, #KBS","12,061명"
14,채널 십오야,"#나영석, #나pd","11,791명"
15,맛있는 녀석들 (Tasty Guys),"#김민경, #김준현","11,641명"
16,YTN news,"#YTN, #LIVE","11,353명"
17,한국경제TV,"#한국경제TV, #와우넷","11,222명"
18,악동 김블루,"#김블루, #배그","10,568명"
19,송작가TV,"#송작가, #시사","10,396명"
20,뉴스TVCHOSUN,"#TV조선, #뉴스","10,303명"
21,인피쉰,"#빨무, #빠른무한","10,187명"
22,CBS 김현정의 뉴스쇼,"#김현정, #뉴스쇼","10,103명"
23,KBS News,"#뉴스, #kbs","10,005명"
24,고성국TV,"#고성국TV, #고성국","9,777명"
25,조선일보,"#조선일보, #조선","9,755명"
26,코이티비KOITV,"#베트남, #호치민","9,338명"
27,오버워치 리그,"#오버워치리그플레이오프, #오버워치게임","9,115명"
28,자이TV Made in Xi,"#자이, #GS건설","9,022명"
29,PBA TV,"#당구, #프로당구","8,936명"
30,주식왕용느,"#용느, #주식","8,483명"
31,김복준 김윤희의 사건의뢰,"#사건의뢰, #김복준","7,918명"
32,Hyper Genius[초천재],"#한강, #손정민","7,651명"
33,JTBC News,"#JTBC, #뉴스","7,316명"
34,이문주,"#이문주, #리니지","7,224명"
35,규티비 KYUHYUN,"#규현, #KYUHYUN","7,085명"
36,SBS 뉴스,"#SBSNEWS, #sbs","7,005명"
37,스트리머 사또,"#리니지2M, #넷마블","6,983명"
38,한밤 HANBAM,"#K, #아이돌","6,885명"
39,급식걸즈,"#급식왕, #유형","6,851명"
40,연합인포맥스,"#재테크, #뉴요기요","6,557명"
41,진격캐넌,"#메이플스토리, #캐논슈터","6,407명"
42,긴급속보 홍철기,"#상식, #시사","6,318명"
43,이동형TV,"#이작가, #이이제이","6,066명"
44,시사타파TV,"#시사타파, #문재인","5,912명"
45,이스타TV,"#이스타, #이스타TV","5,721명"
46,너알아TV,"#너알아, #너알아tv","5,647명"
47,제자광성교회,"#제자광성교회, #제자광성","5,533명"
48,스트리머 여포,"#리니지M, #여포왕","5,460명"
49,카광,"#윤덕규, #카광","5,350명"
50,연합뉴스TV,"#뉴스, #생방송","5,287명"
51,공모주린이,"#공모주, #주식","5,171명"
52,예랑가랑,"#가인학생, #방예린학생","5,052명"
53,박시영TV,"#박시영, #박시영티비","4,942명"
54,급식쌤들,"#급식쌤들, #급식왕","4,849명"
55,MBN News,"#MBN, #NEWS","4,823명"
56,만만,"#만만, #리니지M","4,768명"
57,[정광용 TV]레지스탕스TV,"#베네수엘라, #이란","4,629명"
58,인범티비,"#인범, #리니지","4,442명"
59,크집사,"#고양이, #크집사","4,420명"
60,이송원TV,"#이송원, #김어준","4,417명"
61,김성회의 옳은소리,"#김성회, #정치연구소","4,387명"
62,앵그리블루 LIVE,"#황장수, #앵그리블루","4,222명"
63,열린공감TV,"#열린공감, #열린민주당","4,174명"
64,"주식단테-작전주,경제차트분석,주식전문","#증권, #주식초보","4,160명"
65,신의두뇌-비트코인 경제TV,"#암호화폐, #비트코인","4,123명"
66,안정모의 주식투자,"#주식, #주식투자","3,864명"
67,종이의 TV,"#부정선거, #블랙시위","3,861명"
68,IYF 국제청소년연합,"#월드캠프, #IYF","3,684명"
69,정완진TV,"#자영업자, #소상공인","3,679명"
70,김영환TV,"#김영환, #김영환TV","3,667명"
71,피집사,"#집사, #동물이슈","3,577명"
72,롯본기 김교수,"#일본, #동경","3,561명"
73,오뽀가디언- 비트코인TV,"#비트코인, #오뽀","3,394명"
74,파워볼 늑대,,"3,257명"
75,파이브앤식스 인터내셔널,"#스포츠, #당구","3,235명"
76,매일경제TV,"#매일경제TV, #매일경제","3,198명"
77,CALLING GOD 콜링갓,"#기도, #기독교","3,194명"
78,YTN 라디오,"#YTN, #황출새","3,169명"
79,대도서관TV (buzzbean11),"#대도서관, #공포게임","3,169명"
80,KBS 1라디오,"#kbs1라디오, #kbs","3,147명"
81,코인탐정 사무소- 사토시 코난,"#비트코인, #가상자산","3,146명"
82,MBC라디오,"#MBC라디오, #시선집중","3,070명"
83,중년게이머 김실장,"#리니지M, #리니지2M","3,039명"
84,잠뜰 TV,"#잠뜰, #Sleepground","3,018명"
85,도봉박홍기,"#부동산, #경제위기","2,964명"
86,선한목자교회,"#유기성, #선한목자교회","2,888명"
87,TBS 시민의방송,"#TBS, #김어준","2,845명"
88,신의한수,"#문재인, #김정은","2,806명"
89,김호중 공식채널 Kim Hojoong,"#김호중, #김호중공식채널","2,766명"
90,채널 명예훈장,"#명예훈장, #명훈","2,683명"
91,포켓TV / Pocket TV,"#대교, #놀아줘클럽","2,582명"
92,여의도순복음교회(Yoido Full Gospel Church),"#여의도순복음교회, #생방송","2,527명"
