순위,채널명,태그,일일 슈퍼챗수입,일일 슈퍼챗개수
1,가로세로연구소,"#가로세로연구소, #가세연","₩4,104,506",152
2,김용호연예부장,"#연예뉴스, #시사이슈","₩2,651,269",98
3,[공식] 새날,"#새날, #새가날아든다","₩2,401,332",82
4,딴지방송국,"#김어준, #다스뵈이다","₩2,231,444",73
5,강민TV,"#강민, #리마스터","₩2,005,304",75
6,스트리머 사또,"#리니지2M, #넷마블","₩1,870,559",210
7,김해꼬마tv,"#서태승, #라보티비","₩1,525,502",118
8,김영환TV,"#김영환, #김영환TV","₩1,521,519",106
9,중년게이머 김실장,"#리니지M, #리니지2M","₩1,476,081",368
10,동준사장tv,"#게이, #트랜스","₩1,454,759",50
11,수와진TV 👩‍❤‍👨,"#사랑, #수와진","₩1,405,896",133
12,미친연애TV,"#연애, #남자심리","₩1,266,274",40
13,유재일,"#유재일, #정치평론","₩1,247,507",51
14,뽕신 강문경 티브이,"#강문경, #나훈아","₩1,164,371",68
15,예랑가랑,"#가인학생, #방예린학생","₩1,111,432",302
16,감동란TV 시즌2,"#감동란, #감동란TV","₩1,108,960",130
17,Hyper Genius[초천재],"#한강, #손정민","₩1,104,132",45
18,따이TV,"#실시간, #Live","₩1,030,305",44
19,에센스룸,"#에센스룸, #패션","₩1,017,937",51
20,팔천사와강아지세상,"#반려견, #유기견","₩1,017,160",28
21,버블디아,"#bubbledia, #버블디아","₩988,437",35
22,코인흥신소,"#비트코인, #암호화폐","₩972,833",20
23,청초한두유커플DooYooCouple,"#유도, #먹방","₩875,432",22
24,이문주,"#이문주, #리니지","₩869,411",30
25,원탑명리,"#명리, #사주","₩866,797",26
26,순망,"#로스트아크, #바드","₩830,828",22
27,스트리머 여포,"#리니지M, #여포왕","₩816,027",11
28,박호두,"#박호두, #해외선물","₩814,811",81
29,김기수,"#김기수, #뷰티크리에이터","₩798,440",18
30,냉철tv,"#전업투자자, #전업투자","₩797,525",128
31,정치왓수다,"#정치왓수다, #정치수다","₩760,583",28
32,양원식tv,"#대학가요제, #mbc신인가요제","₩759,546",34
33,시사타파TV,"#시사타파, #문재인","₩743,141",43
34,효자손자홍정한 TV,"#악성뇌암손자, #치매말기할머니","₩735,518",14
35,골프반장TV 박용관,"#골프, #골프존","₩703,838",39
36,나몰라패밀리 핫쇼,"#나몰라패밀리, #핫쇼","₩672,181",41
37,태국푸차이 [puchai tv],"#thailand, #태국","₩642,315",38
38,한태부부 태국홍이형tv,"#태국, #파타야","₩629,928",30
39,김학철 TV,"#김학철, #연극배우가","₩625,307",62
40,걸코-Gulko,"#파카, #paka","₩620,025",8
41,질래's 펌핑tv,"#조질래, #질래","₩586,264",34
42,하니윤정tv,"#가수품바하니윤정미스터트롯, #하니윤정","₩583,275",70
43,송광호TV작곡가,"#송광호, #미운사랑","₩568,645",14
44,피집사,"#집사, #동물이슈","₩568,541",29
45,원진짱tv,,"₩565,019",11
46,너알아TV,"#너알아, #너알아tv","₩555,617",23
47,하면되겠지,#대깨문,"₩555,111",29
48,BJ상만,"#아프리카BJ, #마약","₩552,572",21
49,박완규 RWND,,"₩549,018",11
