순위,채널명,태그,일일_조회수
1,HYBE LABELS,"#BTS, #방탄소년단","5,238,302"
2,BANGTANTV,,"2,853,937"
3,BANGTANTV,,"2,748,202"
4,Wanyo mori,#Shorts,"2,225,399"
5,BANGTANTV,,"2,111,126"
6,HYBE LABELS,"#BTS, #방탄소년단","1,966,974"
7,단편short,,"1,966,766"
8,Wanyo mori,#Shorts,"1,711,592"
9,마라탕맛 틱톡,,"1,520,340"
10,STUDIO CHOOM [스튜디오 춤],"#ArtistOfTheMonth, #AOTM","1,377,331"
11,트루피스truepeace-구독자3만가자,,"1,373,095"
12,BANGTANTV,,"1,342,159"
13,Ox_Zung Squad,"#OxZung, #OxZungmama","1,333,928"
14,ASMR 애정 TV,,"1,297,725"
15,Ox_Zung Squad,"#OxZung, #OxZungmama","1,281,340"
16,주접떨려고만듦,,"1,251,040"
17,HYBE LABELS,"#BTS, #방탄소년단","1,176,112"
18,BANGTANTV,,"1,154,068"
19,스브스스포츠 SUBUSU SPORTS,"#대한민국, #프랑스","1,090,217"
20,엔트리 파워볼아영,,"1,084,510"
21,BLACKPINK,"#BLACKPINK, #블랙핑크","1,068,604"
22,연합뉴스 Yonhapnews,"#연합뉴스, #미국","998,109"
23,스포츠암행어사,"#shorts, #제임스하든","988,739"
24,[중탄소년단] 구독자 2.6만명 만들기,#shorts,"966,671"
25,Zero_sider,,"941,918"
26,officialpsy,"#PSY, #싸이","940,614"
27,SBS Catch,"#펜트하우스3, #화제의모먼트","903,228"
28,JYP Entertainment,"#TWICE, #TasteofLove","899,644"
29,트루피스truepeace-구독자3만가자,,"890,875"
30,Devil Bona,"#gacha, #gachameme","889,102"
31,짤툰,"#짤툰, #애니메이션","880,725"
32,SBS Catch,"#펜트하우스3, #SBSCatch","879,680"
33,[중탄소년단] 구독자 2.6만명 만들기,#shorts,"866,256"
34,HYBE LABELS,,"855,724"
35,Ox_Zung Squad,"#OxZung, #OxZungmama","843,075"
36,BODA 보다,"#형사, #마동석","827,715"
37,BLACKPINK,"#BLACKPINK, #블랙핑크","817,161"
38,Ox_Zung Squad,"#OxZung, #OxZungmama","810,950"
39,김종국 GYM JONG KOOK,,"810,084"
40,옐언니,,"806,805"
41,JTBC Entertainment,"#확끌립, #내가키운다","802,902"
42,KOVO,"#현대건설, #매미킴","795,595"
43,ENHYPEN,#ENHYPEN,"772,080"
44,BANGTANTV,"#BTS_Butter, #방탄소년단","765,222"
45,Wanyo mori,#Shorts,"757,543"
46,Ox_Zung Squad,"#OxZung, #OxZungmama","749,205"
47,워크맨-Workman,"#워크맨, #workman","736,224"
48,BLACKPINK,"#BLACKPINK, #블랙핑크","730,297"
49,Wanyo mori,#Shorts,"715,254"
50,올리버쌤,,"713,866"
