순위,채널명,태그,일일조회수,일일 좋아요 수
1,BANGTANTV,"#BTS, #방탄소년단","11,694,211",3백만
2,MBCNEWS,"#mbc, #news","6,042,219",8.4만
3,Wanyo mori,,"3,945,959",9.3만
4,진성호방송,"#인물, #사회","2,676,818",18.1만
5,STUDIO CHOOM [스튜디오 춤],"#M2, #커버","967,143",32.1만
6,YTN news,"#YTN, #LIVE","2,779,238",2.1만
7,TWICE,"#TWICE, #트와이스","1,014,007",15.3만
8,김종국 GYM JONG KOOK,"#김종국, #짐종국","2,075,193",4.1만
9,배승희 변호사,"#bae, #배승희","1,096,696",13.6만
10,JTBC News,"#JTBC, #뉴스","1,875,070",1.7만
11,TBS 시민의방송,"#TBS, #김어준","1,150,232",6.7만
12,혀니콤보 TV,"#이현, #LeeHyun","518,330",11.1만
13,트루피스truepeace-구독자3만가자,"#쇼츠, #shorts","1,557,817",4천
14,한문철 TV,"#블랙박스, #과실비율","1,344,599",1.8만
15,TREASURE (트레저),"#TREASURE, #트레저","528,292",9.8만
16,Ace Art 에이스 아트,"#animation, #에이스아트","1,207,272",9천
17,스브스스포츠 SUBUSU SPORTS,"#스브스스포츠, #스브스포츠","1,186,083",6천
18,SBS Drama,"#SBS, #kdrama","1,089,218",1.5만
19,tvN D ENT,"#tvN, #D","1,099,302",9천
20,정치일학,"#정치일학, #김어준","669,123",5.1만
21,성창경 TV,"#성창경, #KBS","463,168",7만
22,광저우사입삼촌,,"1,098,461",3천
23,BODA 보다,"#REACT, #BODA","972,566",1만
24,SBS 뉴스,"#SBSNEWS, #sbs","876,206",9천
25,김종국 GYM JONG KOOK,"#김종국, #짐종국","810,084",1.4만
26,KBS News,"#뉴스, #kbs","835,619",8천
27,비디터ᴠɪᴅɪᴛᴏʀ,"#댓글모음, #비디터","775,468",1.3만
28,JTBC Voyage,"#KDRAMA, #KPOP","798,113",9천
29,대륙판눈요기TV,,"862,121",2천
30,오마이비키 OMV,"#오마이비키, #오비키","537,065",3.3만
31,드라마갤러리,"#드라마, #영화","806,971",5천
32,올리버쌤,"#올리버쌤, #영어실수","713,866",1.4만
33,미스&미스터트롯 공식계정,"#미스터트롯, #미스트롯","535,913",3.1만
34,런닝맨 - 스브스 공식 채널,"#유재석, #지석진","731,829",1만
35,TWICE,"#TWICE, #트와이스","416,762",4.1만
36,워크맨-Workman,"#studiolululala, #JTBC","736,224",8천
37,성제준TV,"#성제준, #포방터","585,765",2.2만
38,하재근TV 복세간정,"#이슈, #시사","419,466",3.8만
39,흔한남매,"#웃찾사, #웃찾사흔한남매","686,296",1.2만
40,연합뉴스 Yonhapnews,"#연합뉴스, #yonhapnews","732,399",6천
41,채널A 뉴스,"#채널에이, #채널A","599,937",1.9만
42,구네스북,"#대한민국, #한국","599,079",1.9만
43,Lovely Pets,"#Dog, #Pet","764,981",1천
44,이봉규TV,"#이봉규, #이봉규tv","316,106",4.6만
45,놀면 뭐하니?,"#유재석, #유플래시","457,347",3.1만
46,레알예능 스브스,"#SBS, #강심장","711,924",3천
47,잠뜰 TV,"#잠뜰, #Sleepground","548,552",1.8만
48,LeesiYoung Short,#leesiyoung,"655,229",6천
49,tzuyang쯔양,"#real, #리얼사운드","604,008",1.1만
50,이큐채널,"#홍준표, #황장수","637,124",8천
51,피식대학Psick Univ,"#B대면데이트, #최준","566,227",1.4만
52,Hongyu ASMR 홍유,"#먹방, #asmr","599,861",9천
53,신인균의 국방TV,"#신인균, #신인균의","320,677",3.6만
54,백크 Baekk,"#백크, #감스트","627,339",5천
55,TOMORROW X TOGETHER OFFICIAL,"#TXT, #투모로우바이투게더","159,911",5만
