순위,채널명,태그,일일_신규구독자,전체구독자
1,Wanyo mori,,"81,000명(11.6%)
                ","
                701,000
              "
2,김종국 GYM JONG KOOK,"#김종국, #짐종국","30,000명(1.6%)
                ","
                1,850,000
              "
3,한밤 HANBAM,"#K, #아이돌","20,000명(5.8%)
                ","
                343,000
              "
4,김영환TV,"#김영환, #김영환TV","8,800명(22.8%)
                ","
                38,600
              "
5,Pinay Mom in South Korea,"#pinaymom, #koreankids","8,000명(6.3%)
                ","
                128,000
              "
6,바라던 바다,"#바라던바다, #이수현","7,000명(4.9%)
                ","
                143,000
              "
7,혀니콤보 TV,"#이현, #LeeHyun","7,000명(2.3%)
                ","
                301,000
              "
8,YH 피규어 메이커,"#sculpture, #zbrush","7,000명(2.1%)
                ","
                332,000
              "
9,송하랑 Ch. Songharang,"#송하랑, #여자목소리","5,200명(5%)
                ","
                105,000
              "
10,레베기의 이상한 아뜰리에 LEBEGI,"#가죽공예, #DIY","5,000명(2.6%)
                ","
                192,000
              "
11,이로운 LEE RO WOON,"#이로운, #병아리하이킥","4,600명(13.5%)
                ","
                34,100
              "
12,하음쿠킹 Haeum Cooking,"#간단요리, #easyrecipe","3,800명(13.8%)
                ","
                27,500
              "
13,Kittisaurus Villains,"#animation, #movie","3,300명(19.6%)
                ","
                16,800
              "
14,뽕필공방 BongfillCraft,"#speedpaint, #스피드페인팅","3,300명(5.5%)
                ","
                59,700
              "
15,정영진 장항준의 편의점 클라쓰e,"#ebs, #강연","3,300명(4.7%)
                ","
                70,400
              "
16,오마이비키 OMV,"#오마이비키, #오비키","4,000명(1.9%)
                ","
                215,000
              "
17,SK이노베이션 [SK innovation],"#SK이노베이션, #SK종합화학","3,800명(5%)
                ","
                76,000
              "
18,단편short,,"3,800명(4.4%)
                ","
                87,200
              "
19,은손 Eunson,"#은손, #eunson","3,700명(3.9%)
                ","
                95,600
              "
20,에익쿠,,"3,400명(5.8%)
                ","
                58,900
              "
21,트루피스truepeace-구독자3만가자,"#쇼츠, #shorts","3,300명(11.3%)
                ","
                29,200
              "
22,Kittisaurus Villains,"#animation, #movie","3,100명(15.6%)
                ","
                19,900
              "
