순위,채널명,태그,주간_유료컨텐츠조회수
1,[햄지]Hamzy,"#두찜, #불마왕불닭","2,638,793"
2,장삐쭈,,"1,051,606"
3,tvN D ENT,,"1,031,774"
4,짤툰,"#짤툰, #애니메이션","1,030,689"
5,Boram Tube [宝蓝和朋友们],,"896,127"
6,1theK (원더케이),,"855,733"
7,tzuyang쯔양,"#크록스, #과자","840,522"
8,논리왕 전기,"#전기, #위피","838,705"
9,웃긴댓글,"#댓글모음, #웃긴영상","817,151"
10,지피티,"#헬스게이트, #셀럽워터","791,888"
11,더블비,"#복불복, #경주여행","789,890"
12,흥삼이네 Heungsam's Family,"#봉이막창, #막창","754,185"
13,tvN D ENT,,"736,800"
14,딴지방송국,,"736,436"
15,웃긴댓글,"#댓글모음, #웃긴영상","715,222"
16,웃긴댓글,"#댓글모음, #웃긴영상","710,013"
17,웃긴댓글,"#댓글모음, #웃긴영상","686,145"
18,도장TV,,"684,070"
19,이거해조 원희형,,"677,204"
20,tzuyang쯔양,"#이차돌, #고기","666,277"
21,대륙판눈요기TV,,"648,911"
22,기몽초,,"601,029"
23,대륙판눈요기TV,,"593,503"
24,대륙판눈요기TV,,"584,374"
25,지켜츄 Chuu Can Do It,"#유료광고, #지켜츄를지켜츄","581,040"
26,이거해조 원희형,,"573,740"
27,밉지않은 관종언니,"#에르메스, #가든파티","566,741"
28,웃긴댓글,"#댓글모음, #웃긴영상","561,366"
29,NCT 127,"#NCT127, #NCT127_Save","550,659"
30,채널 십오야,"#송민호의파일럿, #그림1","536,349"
31,황태와 양미리(빽사이코러스),,"535,785"
32,김구라의 뻐꾸기 골프 TV,"#인교진, #조현재","530,485"
33,피지컬갤러리,"#마사지, #나음케어","522,837"
34,SM C&C STUDIO,"#LEEYONGJIN, #LEEJINHO","517,133"
35,공부왕찐천재 홍진경,"#홍진경주식, #라엘이주식","502,126"
36,푸하하TV,"#심야신당, #정호근","486,786"
37,공대생 변승주 DS,"#단양, #프로틴","460,484"
38,Kimbab Family,"#24jam, #kimbabfamily","437,399"
39,짧은대본 ShortPaper,"#웹드라마, #고백","437,334"
40,팩튜브,,"430,605"
41,대륙판눈요기TV,,"425,258"
42,공부왕찐천재 홍진경,"#홍진경, #스터디윗미","423,998"
43,웃어봐요 동물의 짤,#동물밈,"411,229"
44,히밥heebab,"#상문이숯불양념치킨, #상문이숯불두마리","405,609"
45,뜨뜨뜨뜨,"#뜨뜨뜨뜨, #배틀그라운드","399,024"
46,백크 Baekk,,"398,315"
47,빅페이스 BIGFACE,,"397,144"
48,Shoot for Love 슛포러브,,"381,196"
