순위,채널명,태그,주간 슈퍼챗수입,주간 슈퍼챗개수
1,열린공감TV,"#열린공감, #열린민주당","₩12,761,799",804
2,수와진TV 👩‍❤‍👨,"#수와진, #사랑","₩12,238,437",1천
3,냉철tv,"#전업투자자, #전업투자","₩9,231,568",937
4,너알아TV,"#너알아, #너알아tv","₩8,681,560",369
5,따이TV,"#실시간, #Live","₩8,434,600",243
6,유재일,"#유재일, #정치평론","₩7,820,105",456
7,김해꼬마tv,"#서태승, #라보티비","₩7,231,635",466
8,Super K-슈퍼개미김정환,"#주식투자, #주식투자","₩6,950,252",607
9,가로세로연구소,"#가로세로연구소, #강용석","₩6,278,851",282
10,CALLING GOD 콜링갓,"#기도, #기독교","₩5,710,373",223
11,동준사장tv,"#게이, #트랜스","₩5,685,338",221
12,까막이,"#다정한부부, #뻑가","₩5,620,759",355
13,태국푸차이 [puchai tv],"#thailand, #태국","₩5,586,770",259
14,슈콘,"#비트코인, #이오스","₩5,313,934",513
15,종이의 TV,"#부정선거, #블랙시위","₩5,194,237",190
16,풍자테레비,"#풍자, #젠더","₩5,164,403",312
17,코인흥신소,"#비트코인, #암호화폐","₩5,045,339",171
18,Hyper Genius[초천재],"#한강, #손정민","₩4,764,217",174
19,팔천사와강아지세상,"#반려견, #유기견","₩4,728,058",146
20,김소연힐링음악여행,"#김소연노래교실, #음방","₩4,194,379",293
21,원탑명리,"#명리, #사주","₩4,124,481",163
22,미친연애TV,"#연애, #남자심리","₩4,077,334",208
23,대주주TV,"#주식, #경제","₩3,999,487",418
24,이큐채널,"#황장수, #신의한수","₩3,875,296",267
25,[공식] 새날,"#새날, #새가날아든다","₩3,827,147",199
26,[ALTUBE] 김성현TV,"#스타크래프트, #StarCraft","₩3,797,176",509
27,박호두,"#박호두, #해외선물","₩3,742,911",468
28,도리도리 DooriDoori 비트코인 교육방송,"#암호화폐, #도리도리코인","₩3,686,708",121
29,시사타파TV,"#시사타파, #문재인","₩3,685,352",176
30,하니윤정tv,"#가수품바하니윤정미스터트롯, #하니윤정","₩3,664,389",199
31,명천가족TV,"#조폭, #건달","₩3,531,124",201
32,담양오리,"#넷마블, #이문주","₩3,401,479",172
33,돌비공포라디오,"#공포라디오, #공포라디오돌비","₩3,365,668",142
34,미디어A,"#자유, #정의","₩3,306,525",128
35,일찐푸딩,"#흉가, #귀신","₩3,221,848",87
36,각하TV,"#김호중, #고맙소","₩3,173,697",88
37,자빱TV,"#마인크래프트, #마크상황극","₩3,126,433",487
38,라이더우,,"₩3,125,706",153
39,신튜브 신혜식,,"₩3,099,710",99
40,엔젤캣Angel Cat,"#엔젤캣, #길냥이","₩3,084,760",83
41,박시영TV,"#박시영, #박시영티비","₩3,024,521",230
42,똘이네농장,"#진돗개, #풍산개","₩2,941,286",111
43,선호라이브TV,"#양선호, #선호라이브TV","₩2,923,234",229
44,피집사,"#집사, #동물이슈","₩2,782,333",135
45,이문주,"#이문주, #리니지","₩2,773,165",91
46,강민TV,"#강민, #리마스터","₩2,766,871",122
47,질래's 펌핑tv,"#조질래, #질래","₩2,763,742",58
48,조코피TV [NBA해설 조현일],"#NBA, #조현일","₩2,761,291",374
49,창기TV,"#조폭, #건달","₩2,760,442",140
