순위,채널명,태그,일일 슈퍼챗수입,일일 슈퍼챗개수
1,가로세로연구소,"#가로세로연구소, #가세연","₩4,630,516",175
2,김해꼬마tv,"#서태승, #라보티비","₩3,429,135",136
3,도리도리 DooriDoori 비트코인 교육방송,"#암호화폐, #도리도리코인","₩1,803,861",51
4,슈콘,"#비트코인, #이오스","₩1,784,808",119
5,냉철tv,"#전업투자자, #전업투자","₩1,779,781",233
6,코인흥신소,"#비트코인, #암호화폐","₩1,551,754",23
7,조코피TV [NBA해설 조현일],"#NBA, #조현일","₩1,542,802",218
8,카진성,"#직업의모든것, #별놈들","₩1,280,908",58
9,유미스타,"#유미, #youme","₩1,220,597",20
10,수와진TV 👩‍❤‍👨,"#사랑, #수와진","₩1,203,740",102
11,양지원TV,"#양지원, #미스터트롯","₩1,193,734",7
12,박명원 TV,"#가수박명원, #시인박명원","₩1,189,556",51
13,유재일,"#유재일, #정치평론","₩1,151,243",60
14,곽동수TV,"#곽쌤, #곽동수TV","₩1,124,396",9
15,"주식단테-작전주,경제차트분석,주식전문","#증권, #주식초보","₩1,124,052",50
16,미친연애TV,"#연애, #남자심리","₩1,108,191",61
17,스트리머 사또,"#리니지2M, #넷마블","₩1,090,277",37
18,김소연힐링음악여행,"#김소연노래교실, #음방","₩1,059,988",62
19,[ALTUBE] 김성현TV,"#스타크래프트, #StarCraft","₩1,006,794",189
20,까막이,"#다정한부부, #뻑가","₩984,731",64
21,Super K-슈퍼개미김정환,"#주식투자, #주식투자","₩976,036",92
22,안정모의 주식투자,"#주식, #주식투자","₩965,724",72
23,크라잉넛 / CRYING NUT Official Channel,"#크라잉넛, #CRYING","₩898,668",49
24,종이의 TV,"#부정선거, #블랙시위","₩852,899",54
25,와이스트릿 Ystreet,"#슈퍼개미, #김정환","₩843,982",79
26,에드머 Edmmer,"#에드머, #애드머","₩794,988",47
27,질래's 펌핑tv,"#조질래, #질래","₩782,789",24
28,송용진의 미드나잇 라디오,"#송용진, #뮤지컬","₩763,365",97
29,백브리핑,"#백총재, #백광현","₩737,921",20
30,강서남 웅이,"#스노우보드, #스노보드","₩736,714",49
31,이문주,"#이문주, #리니지","₩728,538",26
32,다미 비트코인,"#바이비트, #박호두","₩722,794",36
33,박호두,"#박호두, #주식","₩713,368",124
34,강민TV,"#강민, #리마스터","₩703,576",42
35,팔천사와강아지세상,"#반려견, #유기견","₩696,345",16
36,설운도TV_Official,"#설운도, #트로트가수","₩690,855",118
37,Hyper Genius[초천재],"#한강, #손정민","₩683,283",34
