순위,채널명,태그,주간 최고 동시 시청자수
1,삼프로TV_경제의신과함께,"#주식, #투자","57,830명"
2,딴지방송국,"#김어준, #다스뵈이다","50,810명"
3,BIBO와 장난감,"#장난감, #자동차","32,971명"
4,가로세로연구소,"#가로세로연구소, #가세연","31,042명"
5,MBCNEWS,"#mbc, #news","26,197명"
6,[팟빵] 매불쇼,"#매불쇼, #정영진","20,056명"
7,[공식] 새날,"#새날, #새가날아든다","19,928명"
8,채널A 뉴스,"#채널A, #채널에이","19,733명"
9,E트렌드,"#주식전망, #재테크","19,245명"
10,박호두,"#박호두, #해외선물","17,569명"
11,고발뉴스TV,"#고발뉴스, #이상호","16,505명"
12,김용호연예부장,"#연예뉴스, #시사이슈","13,502명"
13,KBS WORLD TV,"#KBSWorld, #KBS","12,061명"
14,채널 십오야,"#나영석, #나pd","11,791명"
15,맛있는 녀석들 (Tasty Guys),"#김민경, #김준현","11,641명"
16,E트렌드,"#주식전망, #재테크","8,561명"
17,열린공감TV,"#열린공감, #열린민주당","8,536명"
18,SBS 뉴스,"#SBSNEWS, #sbs","7,798명"
19,PBA TV,"#당구, #프로당구","7,531명"
20,Hyper Genius[초천재],"#한강, #손정민","7,493명"
21,김성룡 바둑랩,"#김성룡바둑랩, #김성룡","6,592명"
22,글자네 YouTube,"#메이플스토리, #메이플","6,443명"
23,KBS News,"#뉴스, #kbs","6,271명"
24,뉴스TVCHOSUN,"#TV조선, #뉴스","6,233명"
25,너알아TV,"#너알아, #너알아tv","5,538명"
26,채널A 뉴스,"#채널에이, #채널A","5,442명"
27,한밤 HANBAM,"#K, #아이돌","5,337명"
28,JTBC News,"#뉴스, #뉴스룸","5,266명"
29,피식대학Psick Univ,"#B대면데이트, #최준","5,217명"
30,2022어벤저스,,"4,945명"
31,연합뉴스TV,"#뉴스, #생방송","4,838명"
32,강명도TV-자유조선,"#강명도TV, #강명도","4,802명"
33,MBN News,"#MBN, #뉴스","4,531명"
34,오마이비키 OMV,"#오마이비키, #오비키","4,358명"
35,손상대TV,"#손상대, #손상대TV","4,181명"
36,김학중 목사_꿈의교회 미디어교회,"#김학중목사, #꿈의교회","4,038명"
37,제자광성교회,"#제자광성교회, #제자광성","4,035명"
38,혜안,"#게임, #혜안","3,992명"
39,K바둑,"#바둑, #go","3,924명"
40,이송원TV,"#이송원, #김어준","3,923명"
41,rutctv,"#rutc, #rutctv","3,856명"
42,랑쯔,"#리니지2m, #미르4","3,801명"
43,DKTV Daniel,"#dktv, #대니얼김","3,597명"
44,이문주,"#이문주, #리니지","3,509명"
45,Amazing Cooking - 놀라운 요리,"#Cooking, #stopmotion","3,424명"
46,파이브앤식스 인터내셔널,"#스포츠, #당구","3,365명"
47,정완진TV,"#소상공인, #자영업자","3,312명"
48,김영환TV,"#김영환, #김영환TV","3,301명"
49,서울의소리 Voice of Seoul,"#민주당, #서울의","3,298명"
50,여의도순복음교회(Yoido Full Gospel Church),"#여의도순복음교회, #생방송","3,295명"
51,황경구의 시사창고,"#황경구, #황경구의","3,290명"
52,LunLuns,"#도쿄일상, #일본일상","3,255명"
53,파워볼메이저,"#파워볼, #파워볼실시간","3,251명"
54,Rirang OnAir,"#백패킹, #캠핑","3,168명"
55,파워볼 늑대,,"3,119명"
56,종이의 TV,"#부정선거, #블랙시위","3,088명"
57,전옥현 안보정론TV,"#문재인, #김정은","3,058명"
58,소수몽키,"#미국주식, #재테크","3,014명"
59,두두팝토이,"#dudupoptoy, #toys","3,013명"
60,배틀그라운드 이스포츠,"#PUBG, #배그","3,010명"
61,똘끼100%,"#비트코인, #코인","2,984명"
62,선한목자교회,"#유기성, #선한목자교회","2,952명"
63,오뽀가디언- 비트코인TV,"#비트코인, #오뽀","2,896명"
64,지구촌교회,"#지구촌교회, #이동원목사","2,852명"
65,[정광용 TV]레지스탕스TV,"#베네수엘라, #이란","2,803명"
66,주성하TV,"#주성하, #김정은","2,802명"
67,아이템의 인벤토리,"#아이템, #아이템의인벤토리","2,717명"
68,장추자,"#장추자, #트랜스젠더","2,694명"
69,정성산TV,"#정성산TV, #정성산","2,582명"
70,대도서관TV (buzzbean11),"#대도서관, #공포게임","2,532명"
71,신비TV,"#신비TV, #신비티비","2,440명"
72,스트리머 사또,"#리니지2M, #넷마블","2,432명"
73,배틀그라운드 – PUBG: BATTLEGROUNDS Korea,"#배틀그라운드, #배그","2,393명"
74,쫀득TV,"#쫀득, #j가문","2,362명"
75,사랑의교회,"#사랑온, #사랑의","2,352명"
76,도봉박홍기,"#부동산, #경제위기","2,288명"
77,온누리교회,"#온누리교회, #이재훈","2,273명"
78,Jesus Yoon,#F1kr,"2,180명"
79,파워볼 바니,,"2,171명"
80,하면되겠지,#대깨문,"2,164명"
81,한국경제TV,"#한국경제TV, #와우넷","2,151명"
82,오륜교회 oryunchurch,"#오륜교회, #다니엘기도회","2,072명"
83,파워볼 고니,,"2,071명"
84,한라봉,"#한라봉, #엔시티","2,057명"
85,파워볼곽철용,,"1,987명"
86,스트리머 여포,"#리니지M, #여포왕","1,966명"
87,슈콘,"#비트코인, #이오스","1,961명"
88,파워볼 필 아이비1,"#파워볼, #실시간","1,955명"
89,Jazz & Bossa Collection,"#jazz, #jazz","1,928명"
90,ぱく家(박가네),"#썰, #일본","1,877명"
91,맛있는 녀석들 (Tasty Guys),"#김민경, #김준현","1,825명"
92,풍자테레비,"#풍자, #젠더","1,801명"
93,정의구현 박완석,"#박완석, #대머리","1,792명"
