순위,채널명,태그,일일_유료컨텐츠조회수
1,딴지방송국,,"404,185"
2,BANGTANTV,,"363,683"
3,스토리,,"363,190"
4,푸하하TV,"#심야신당, #정호근","346,120"
5,1theK (원더케이),"#NEWRELEASE, #MV","308,277"
6,차국장TV _ 드라마 리뷰,"#펜트하우스7화, #펜트하우스3","250,565"
7,시즌비시즌 Season B Season,"#시즌비시즌, #KCM","249,535"
8,터보롤리알밤이 Turbo&Rolly&Albam,"#대형견, #반려견","224,311"
9,[상윤쓰]Sangyoon,"#유료광고포함, #두찜","223,573"
10,문명특급 - MMTG,"#똥밟았네, #포텐독","215,757"
11,ARTBEAT,"#3대기획사, #걸그룹","214,686"
12,KFATV_한국 축구 국가대표팀,"#김학범호, #대한민국","202,408"
13,잼스터,"#한스령령, #석준이가해","198,666"
14,주연 ZUYONI,"#LG이동식에어컨, #LG에어컨","198,016"
15,tzuyang쯔양,"#쟈뎅시그니처, #대용량커피","176,561"
16,김구라의 뻐꾸기 골프 TV,"#인교진, #조현재","171,064"
17,김시선,,"166,504"
18,공부왕찐천재 홍진경,"#홍진경, #전현무","166,434"
19,김성회의 G식백과,"#WCG, #게임올림픽","163,777"
20,1theK (원더케이),,"157,962"
21,Boram Tube [宝蓝和朋友们],,"155,068"
22,E트렌드,"#주식, #국내주식","150,344"
23,E트렌드,"#주식, #국내주식","147,526"
24,쏘영 Ssoyoung,"#삼겹살, #porkbelly","141,466"
25,뜨뜨뜨뜨,"#뜨뜨뜨뜨, #배틀그라운드","138,403"
26,히밥heebab,"#깐깐한족발, #깐족","138,341"
27,Rirang OnAir,"#솔로캠핑, #양구여행","133,592"
28,최예지 골프TV,"#김준호, #네이키드","133,224"
29,‧˚₊*̥ ❤︎ nyanji 냔지 ❤︎ *̥₊˚‧,"#장거리연애끝, #남자친구","128,363"
30,TV생물도감,,"121,236"
31,tvN D ENT,,"114,346"
32,짤툰,"#짤툰, #애니메이션","114,250"
33,토깽이네,"#어린이가그린, #글램핑","114,157"
34,웍하이 360 °,"#Shorts, #불맛국자","112,731"
35,대륙판눈요기TV,,"111,969"
36,tvN D STUDIO,"#제1의본부장, #배성재","102,194"
37,두치와뿌꾸,"#본캐, #빠칭코","101,154"
38,땡깡DanceKang,"#댓글읽기는처음이라, #땡깡","98,694"
39,KFATV_한국 축구 국가대표팀,"#김학범호, #대한민국","96,831"
40,스튜디오 플래닛 - STUDIO PLANET,"#찐한친구, #김해준","95,338"
41,starshipTV,"#PEPSIxSTARSHIP, #PEPSI","94,673"
42,양감독 TV,"#none, #천하제일무술대회","94,310"
43,대륙판눈요기TV,,"91,393"
44,"그림처럼_살림,일상vlog",,"90,774"
45,엔조이커플enjoycouple,"#ASMR, #mukbang","90,412"
46,채널 명예훈장,"#메이플, #메이플스토리","85,055"
47,tzuyang쯔양,"#이차돌, #고기","84,202"
48,M드로메다 스튜디오,"#해장님, #이은지","83,344"
49,채널 명예훈장,"#메이플, #메이플스토리","83,310"
50,야식이,"#당치땡, #트러플시즈닝","83,278"
51,두치와뿌꾸,"#맨시티, #미페간지","83,188"
52,요리용디 Yori Yongd,#Shorts,"82,405"
53,[햄지]Hamzy,"#두찜, #불마왕불닭","81,849"
54,헬창TV Korea Fitness HellchangTV,"#몸개팅, #소개팅","81,118"
55,웃긴댓글,"#댓글모음, #웃긴영상","79,732"
56,웅이woongei,"#치킨플러스, #백립콤보","78,612"
57,연애 이야기 Yeon's Couple,"#폴웨어, #룩북","77,662"
58,뽀로로(Pororo),"#뽀로로, #삼성에어드레서","76,963"
59,토모토모TomoTomo,,"75,121"
60,1분미만,"#졸음쉼터, #쉬어가세요","74,611"
61,815머니톡,,"72,987"
62,김시선,#송지효,"71,445"
63,돈깡의 알고하는투자,"#도미노, #피자아님","70,972"
64,맛있는 녀석들 (Tasty Guys),"#오늘부터운동뚱, #김민경","70,908"
65,지피티,"#헬스게이트, #다이어트","70,729"
66,짤툰,"#짤툰, #애니메이션","69,800"
67,만만,"#만만, #리니지M","67,621"
68,여락이들_,"#여락이들, #배우","67,342"
69,레바스튜디오,"#레바, #x2_이클립스","66,883"
70,웃긴댓글,"#댓글모음, #웃긴영상","66,095"
71,스타골프빅리그,#스타골프빅리그,"63,902"
72,악동 김블루,#블챔스,"59,008"
73,연고티비,,"58,841"
74,tzuyang쯔양,"#경기도청정계곡, #경기지역화폐","57,362"
75,주연 ZUYONI,,"57,182"
76,팩튜브,,"56,520"
77,중고차는 유미카,"#인천월미도, #가족나들이","55,606"
78,스튜디오 룰루랄라- studio lululala,"#새로움을만나다, #와디즈","55,034"
79,NCT 127,"#NCT127, #NCT127_Save","54,853"
80,대륙판눈요기TV,,"54,556"
81,뜨뜨뜨뜨,"#뜨뜨뜨뜨, #오딘","54,076"
82,강유미 yumi kang좋아서 하는 채널,"#유료광고포함, #여배우","53,779"
83,이석현,"#코그모, #롤","53,769"
84,손상대TV,,"53,620"
85,코저트 Cossert,"#디저트먹방, #마크빈베이커리","53,383"
86,혼술다큐 미짱 lonely mizzang,"#치킨플러스, #치플백립","52,923"
87,더블비,"#복불복, #경주여행","52,919"
88,김용민TV,,"52,737"
89,워크맨-Workman,"#워크맨, #workman","51,926"
90,Ripple_S,"#9급공무원, #공단기","51,598"
91,피식대학Psick Univ,"#shorts, #스노우","50,955"
