순위,채널명,태그,일일_조회수
1,HYBE LABELS,"#BTS, #방탄소년단","12,766,353"
2,BLACKPINK,,"6,097,780"
3,Wanyo mori,#Shorts,"5,120,844"
4,BANGTANTV,,"5,014,096"
5,짧은 영상 shorts video,#shorts,"3,196,139"
6,HYBE LABELS,"#BTS, #방탄소년단","2,984,421"
7,BANGTANTV,,"2,916,474"
8,짧은 영상 shorts video,"#shorts, #몰카","2,696,612"
9,Zero_sider,,"1,884,114"
10,옐언니,,"1,659,863"
11,단편short,,"1,473,318"
12,HYBE LABELS,"#BTS, #방탄소년단","1,467,474"
13,Ox_Zung Squad,"#OxZung, #OxZungmama","1,449,859"
14,천뚱TV,#천뚱잠뚱,"1,433,088"
15,Wanyo mori,#Shorts,"1,427,719"
16,Wanyo mori,#Shorts,"1,380,096"
17,BANGTANTV,,"1,356,137"
18,BLACKPINK,"#BLACKPINK, #블랙핑크","1,301,816"
19,YTN news,,"1,260,429"
20,날다람쥐 2000년생 삶,"#턱걸이, #턱걸이하는여자","1,216,121"
21,JYP Entertainment,"#TWICE, #TasteofLove","1,200,766"
22,SBS Drama,"#펜트하우스3, #신은경","1,088,804"
23,Ox_Zung Squad,"#OxZung, #OxZungmama","1,078,508"
24,Jane ASMR 제인,,"1,034,211"
25,Ox_Zung Squad,"#OxZung, #OxZungmama","1,031,638"
26,Ox_Zung Squad,"#OxZung, #OxZungmama","1,024,682"
27,[햄지]Hamzy,"#꼬막비빔밥, #된장찌개","1,010,623"
28,트루피스truepeace-구독자 2만명가자,,"970,559"
29,tzuyang쯔양,"#태안, #게장","956,363"
30,핑키팝토이,"#Toys, #Animation","939,684"
31,ASMR 애정 TV,,"926,128"
32,Wanyo mori,#Shorts,"923,974"
33,BLACKPINK,"#BLACKPINK, #블랙핑크","913,955"
34,officialpsy,"#PSY, #싸이","900,083"
35,Ox_Zung Squad,"#OxZung, #OxZungmama","882,311"
36,주접떨려고만듦,,"874,230"
37,HYBE LABELS,,"873,780"
38,Ox_Zung Squad,"#OxZung, #OxZungmama","862,722"
39,Yavo Eating,,"843,054"
40,BLACKPINK,"#BLACKPINK, #블랙핑크","819,376"
41,BANGTANTV,"#BTS_Butter, #방탄소년단","815,824"
42,Ox_Zung Squad,"#OxZung, #OxZungmama","789,435"
43,BLACKPINK,"#BLACKPINK, #블랙핑크","784,939"
44,Ox_Zung Squad,"#OxZung, #OxZungmama","778,169"
45,악인전 - 인물소개,,"772,252"
46,SMTOWN,"#1, #2","749,409"
47,헬프미 - Help美,"#성형, #유인아","702,020"
48,Ace Art 에이스 아트,,"695,684"
49,청정구역,"#사유리, #슈퍼맨이돌아왔다사유리","686,001"
50,BLACKPINK,"#BLACKPINK, #블랙핑크","674,191"
51,HYBE LABELS,"#BTS, #방탄소년단","662,079"
52,BLACKPINK,,"658,949"
53,열린공감TV,"#쥴리, #김명신","657,307"
54,YTN news,,"653,051"
55,이슈피드,,"637,683"
56,뻑가 PPKKa,,"633,226"
57,HYBE LABELS,,"605,923"
58,EminemMusic,"#Eminem, #WithoutMe","601,776"
59,Ox_Zung Squad,"#OxZung, #OxZungmama","600,012"
60,ABBOT KINNEY BLVD,,"599,907"
61,MBCNEWS,"#중국, #폭우","597,433"
62,MapleStory_KR,"#메이플스토리, #메이플신규직업","595,281"
63,HYBE LABELS,,"593,205"
64,BLACKPINK,"#BLACKPINK, #블랙핑크","589,909"
65,한국 완두콩,"#peapea, #funnyaliens","584,959"
66,진포터,"#해외네티즌반응, #이홍기","584,747"
67,설기양SULGI,"#먹방, #ASMR","578,094"
68,Wanyo mori,#Shorts,"575,993"
69,단골이슈,"#해외반응, #해외네티즌반응","560,784"
70,트루피스truepeace-구독자 2만명가자,,"560,695"
71,BANGTANTV,,"556,916"
72,Hyundai N Worldwide,"#HyundaiN, #Neverjustdrive","549,933"
73,푸디보이 FoodieBoy,"#라면김치, #김치","547,585"
74,롤박사 해도리,,"539,353"
75,JYP Entertainment,"#ITZY, #GUESSWHO","538,781"
76,JTBC Voyage,"#조윤희, #이로아","525,521"
77,HYBE LABELS,"#AgustD, #D_2","524,369"
78,Ox_Zung Squad,"#OxZung, #OxZungmama","522,808"
79,GONGSAM TABLE 이공삼,"#mukbang, #seafood","522,402"
80,GOIS,,"516,457"
81,에쓰오일 GOODOIL TV,,"508,595"
82,Hello Jadoo Việt Nam,#HelloJadoo,"505,105"
83,Samsung,"#SaveAlltheProgress, #SamsungMemory","504,898"
84,설기양SULGI,"#먹방, #ASMR","502,843"
85,트루피스truepeace-구독자 2만명가자,"#shorts, #쇼츠","502,159"
86,진성호방송,,"491,985"
87,트루피스truepeace-구독자 2만명가자,,"484,938"
