순위,채널명,태그,주간_조회수
1,HYBE LABELS,"#BTS, #방탄소년단","108,816,670"
2,HYBE LABELS,"#BTS, #방탄소년단","26,183,040"
3,HYBE LABELS,"#BTS, #방탄소년단","26,082,606"
4,단편short,,"21,809,622"
5,Wanyo mori,#Shorts,"17,867,990"
6,Jane ASMR 제인,,"14,609,181"
7,HYBE LABELS,"#BTS, #방탄소년단","12,748,865"
8,(G)I-DLE (여자)아이들 (Official YouTube Channel),"#전소연, #JEON_SOYEON","11,096,885"
9,김종국 GYM JONG KOOK,"#김종국, #송지효","10,466,073"
10,Wanyo mori,#Shorts,"10,280,773"
11,BANGTANTV,,"9,800,019"
12,BLACKPINK,"#BLACKPINK, #블랙핑크","9,270,156"
13,Serena Art,"#ASMR, #AcrylicPainting","8,357,884"
14,Ox_Zung Squad,"#OxZung, #OxZungmama","7,978,733"
15,BANGTANTV,,"7,961,653"
16,JYP Entertainment,"#TWICE, #TasteofLove","7,806,407"
17,HYBE LABELS,,"7,789,302"
18,Ox_Zung Squad,"#OxZung, #OxZungmama","7,542,277"
19,loonatheworld,"#이달의소녀, #LOONA","7,074,429"
20,officialpsy,"#PSY, #싸이","7,043,711"
21,BANGTANTV,,"7,001,321"
22,SMTOWN,"#TAEYEON, #태연","6,838,393"
23,BANGTANTV,"#BTS_Butter, #방탄소년단","6,826,386"
24,BLACKPINK,"#BLACKPINK, #블랙핑크","6,513,127"
25,BANGTANTV,,"6,422,685"
26,HYBE LABELS,"#BTS, #방탄소년단","5,841,189"
27,푸디보이 FoodieBoy,"#라면김치, #김치","5,758,150"
28,BLACKPINK,"#BLACKPINK, #블랙핑크","5,676,352"
29,BANGTANTV,,"5,614,050"
30,이은지 저장소,"#개그우먼, #이은지","5,597,969"
31,계향쓰 GH'S,,"5,506,715"
32,BLACKPINK,"#BLACKPINK, #블랙핑크","5,483,514"
33,Ox_Zung Squad,"#OxZung, #OxZungmama","5,456,327"
34,Ox_Zung Squad,"#OxZung, #OxZungmama","5,260,609"
35,SMTOWN,"#NCTDREAM, #HelloFuture","5,200,627"
36,Ox_Zung Squad,"#OxZung, #OxZungmama","5,182,084"
37,Ox_Zung Squad,"#OxZung, #OxZungmama","5,168,091"
38,HYBE LABELS,,"5,137,181"
39,Ox_Zung Squad,"#OxZung, #OxZungmama","5,101,520"
40,Ox_Zung Squad,"#OxZung, #OxZungmama","5,074,861"
41,SMTOWN,"#1, #2","5,015,338"
42,HYBE LABELS,,"4,763,351"
43,설기양SULGI,"#먹방, #ASMR","4,620,597"
44,BLACKPINK,,"4,563,658"
45,YogaHoliday,,"4,504,636"
46,ASMR 애정 TV,,"4,486,019"
47,EminemMusic,"#Eminem, #WithoutMe","4,455,895"
48,JUST B,"#JUSTB, #저스트비","4,412,818"
49,Hongyu ASMR 홍유,,"4,299,776"
