순위,채널명,태그,일일_유료컨텐츠조회수
1,tzuyang쯔양,"#이차돌, #고기","368,764"
2,지피티,"#헬스게이트, #셀럽워터","356,568"
3,[햄지]Hamzy,"#두찜, #불마왕불닭","270,026"
4,삼프로TV_경제의신과함께,"#경제의신과함께, #삼프로TV","228,161"
5,tvN D ENT,,"219,774"
6,TREASURE (트레저),"#TREASURE, #트레저","204,482"
7,채정안TV,"#믹순, #믹순콩에센스","185,636"
8,푸하하TV,"#심야신당, #정호근","171,574"
9,E트렌드,"#주식, #국내주식","161,530"
10,웍하이 360 °,"#Shorts, #불맛국자","150,629"
11,꼰대희,"#밥묵자, #꼰대희","145,377"
12,고발뉴스TV,,"139,702"
13,현주소,,"132,860"
14,E트렌드,"#주식, #국내주식","132,068"
15,뜨뜨뜨뜨,"#뜨뜨뜨뜨, #오딘","126,753"
16,짤툰,"#짤툰, #애니메이션","122,531"
17,스타골프빅리그,#스타골프빅리그,"120,422"
18,이스타TV,"#아스날, #매디슨","119,732"
19,이문주,"#오딘, #리니지2m","118,324"
20,Boram Tube [宝蓝和朋友们],,"117,167"
21,삼프로TV_경제의신과함께,"#경제의신과함께, #삼프로TV","115,360"
22,뜨뜨뜨뜨,"#뜨뜨뜨뜨, #배틀그라운드","114,791"
23,엔조이커플enjoycouple,"#엔조이커플, #러브엔조이","112,186"
24,더블비,"#복불복, #경주여행","105,998"
25,이석현,"#애쉬, #롤","100,254"
26,대륙판눈요기TV,,"99,559"
27,9시내고향,"#장동민, #9시내고향","99,130"
28,1theK (원더케이),,"96,503"
29,K LEAGUE,"#안산, #경남","95,760"
30,기몽초,,"94,139"
31,잡식왕,"#일본, #역사왜곡","93,154"
32,9시내고향,"#장동민, #치킨","92,239"
33,까니짱 [ G-NI ],"#훌랄라, #숯불바베큐","89,216"
34,starshipTV,"#PEPSIxSTARSHIP, #PEPSI","88,971"
35,ATHENA Gaming,"#PUBGMOBILE, #ATHENAGAMING","88,396"
36,이재석,,"85,878"
37,KFATV_한국 축구 국가대표팀,"#2020도쿄올림픽, #아르헨티나전","85,424"
38,강 지,,"85,274"
39,815머니톡,,"83,653"
40,SM C&C STUDIO,"#LEEYONGJIN, #LEEJINHO","83,583"
41,dingo freestyle,"#부산원주민, #제이통","83,227"
42,815머니톡,,"82,651"
43,최고수익률,,"79,433"
44,오마이비키 OMV,"#더플레이어, #피아노","78,932"
45,삼프로TV_경제의신과함께,"#경제의신과함께, #삼프로TV","74,749"
46,신사임당,"#신사임당, #더스테이지","74,376"
47,M드로메다 스튜디오,"#해장님, #이은지","72,543"
48,불도그,"#불도그, #리니지M","72,247"
49,도장TV,,"71,343"
50,NCT 127,"#NCT127, #NCT127_Save","71,277"
51,송작가TV,,"68,165"
52,미라지,"#미라지, #인생샷","68,069"
53,만만,"#만만, #오딘","67,463"
54,강예찬,,"66,719"
55,김구라의 뻐꾸기 골프 TV,"#인교진, #조현재","66,527"
56,웃소 Wootso,,"65,350"
57,대륙판눈요기TV,,"64,715"
58,대륙판눈요기TV,,"64,585"
59,설기양SULGI,"#먹방, #ASMR","63,705"
60,엔조이커플enjoycouple,"#엔조이커플, #러브엔조이","63,416"
61,조효진 HYOJIN,#유료광고,"63,224"
62,황태와 양미리(빽사이코러스),,"63,148"
63,한겨레TV,"#윤석열, #공덕포차","62,338"
