순위,채널명,태그,주간_신규구독자,전체구독자
1,HYBE LABELS,"#빅히트, #BIGHIT","1,100,000명(1.9%)
                ","
                59,100,000
              "
2,BANGTANTV,"#BTS, #방탄소년단","700,000명(1.3%)
                ","
                53,700,000
              "
3,김종국 GYM JONG KOOK,"#김종국, #짐종국","350,000명(20%)
                ","
                1,750,000
              "
4,Wanyo mori,,"214,000명(55.7%)
                ","
                384,000
              "
5,BLACKPINK,"#K, #BLACKPINK","200,000명(0.3%)
                ","
                62,900,000
              "
6,나는 빡빡이다,"#스토리, #유튜브","135,000명(23.8%)
                ","
                567,000
              "
7,Hongyu ASMR 홍유,"#먹방, #asmr","110,000명(1.2%)
                ","
                9,350,000
              "
8,TWICE,"#TWICE, #트와이스","100,000명(0.9%)
                ","
                11,200,000
              "
9,Jane ASMR 제인,"#asmr, #먹방","100,000명(0.7%)
                ","
                13,800,000
              "
10,officialpsy,"#psy, #싸이","100,000명(0.7%)
                ","
                15,000,000
              "
11,KBS WORLD TV,"#KBSWorld, #KBS","100,000명(0.6%)
                ","
                16,500,000
              "
12,JYP Entertainment,"#JYP, #jypentertainment","100,000명(0.5%)
                ","
                21,300,000
              "
13,1theK (원더케이),"#1theK, #원더케이","100,000명(0.4%)
                ","
                23,100,000
              "
14,SMTOWN,"#SuperJunior, #슈퍼주니어","100,000명(0.4%)
                ","
                28,200,000
              "
15,ENHYPEN,"#BELIFTLAB, #ENHYPEN","90,000명(3%)
                ","
                3,000,000
              "
16,쏘영 Ssoyoung,"#ASMR, #Ssoyoung","80,000명(1.3%)
                ","
                6,060,000
              "
17,문복희 Eat with Boki,"#먹방, #mukbang","80,000명(1.3%)
                ","
                6,190,000
              "
18,혀니콤보 TV,"#이현, #LeeHyun","71,000명(24.6%)
                ","
                289,000
              "
19,tzuyang쯔양,"#大食い, #real","70,000명(1.9%)
                ","
                3,720,000
              "
20,야미보이 Yummyboy,"#길거리음식, #Korean","70,000명(1.5%)
                ","
                4,540,000
              "
21,फिल्मकॉन इंडिया,,"70,000명(1.5%)
                ","
                4,610,000
              "
22,TOMORROW X TOGETHER OFFICIAL,"#TXT, #투모로우바이투게더","70,000명(1%)
                ","
                7,080,000
              "
23,[햄지]Hamzy,"#여자먹방, #먹방","70,000명(1%)
                ","
                7,140,000
              "
24,네이버 NOW.,"#나우, #네이버나우","61,000명(31.4%)
                ","
                194,000
              "
25,SIO ASMR,"#MUKBANG, #ASMR","60,000명(1.5%)
                ","
                4,040,000
              "
26,Travel Thirsty,"#seafood, #beef","60,000명(0.9%)
                ","
                6,750,000
              "
27,이연복주머니,"#이연복, #중식","57,300명(62.1%)
                ","
                92,200
              "
28,6습,"#Minecraft, #Noteblock","57,000명(25.6%)
                ","
                223,000
              "
29,김우진 KIM WOOJIN,"#KIMWOOJIN, #WOOJIN","57,000명(17%)
                ","
                336,000
              "
30,Serena Art,"#Acrylic, #painting","50,000명(1.6%)
                ","
                3,200,000
              "
31,GONGSAM TABLE 이공삼,"#203, #이공삼","50,000명(0.8%)
                ","
                6,180,000
              "
32,열린공감TV,"#열린공감, #열린민주당","46,000명(13.2%)
                ","
                349,000
              "
33,Chihun ASMR 치훈,"#먹방, #MUKBANG","40,000명(3%)
                ","
                1,350,000
              "
34,계향쓰 GH'S,"#GH, #계향쓰","40,000명(2.9%)
                ","
                1,360,000
              "
35,NCT DREAM,"#엔시티드림, #JISUNG","40,000명(1.1%)
                ","
                3,690,000
              "
36,영국남자 Korean Englishman,"#Korean, #영국남자","40,000명(1%)
                ","
                3,950,000
              "
37,skyTV 스카이티브이,"#skyTV, #스카이티비","39,000명(19.5%)
                ","
                200,000
              "
38,북올림,"#독서, #자기계발","36,000명(10.5%)
                ","
                343,000
              "
39,피기보이 PiggyBoy,"#한국, #길거리","36,000명(5.6%)
                ","
                643,000
              "
40,팩토리,"#팩토리, #스토리","35,000명(50.4%)
                ","
                69,500
              "
41,바라던 바다,"#바라던바다, #김고은","34,400명(34.1%)
                ","
                101,000
              "
42,Vito ASMR,"#Vito, #asmr","34,000명(4.3%)
                ","
                791,000
              "
43,천뚱TV,"#천뚱, #먹방","31,000명(4.6%)
                ","
                668,000
              "
44,푸디보이 FoodieBoy,"#푸디보이, #food","30,000명(1.8%)
                ","
                1,670,000
              "
45,헨리 Henry Lau,"#henry, #刘宪华","30,000명(1.6%)
                ","
                1,860,000
              "
46,ZOEY ASMR 조이,"#먹방, #ASMR","30,000명(1.5%)
                ","
                1,950,000
              "
47,aespa,"#aespa, #에스파","30,000명(1.4%)
                ","
                2,170,000
              "
48,매일맛나 delicious day,"#간단요리, #매일맛나","30,000명(1.3%)
                ","
                2,230,000
              "
49,STUDIO CHOOM [스튜디오 춤],"#M2, #커버","30,000명(1.2%)
                ","
                2,530,000
              "
50,LsCraft,"#Minecraft, #SCP","30,000명(1.1%)
                ","
                2,610,000
              "
51,odg,,"30,000명(1.1%)
                ","
                2,690,000
              "
52,Like Nastya KOR,"#Nastya, #어린이를위한","30,000명(1%)
                ","
                2,860,000
              "
53,jenny slime,"#slimevideo, #asmr","30,000명(0.9%)
                ","
                3,250,000
              "
54,drawholic,"#drawing, #드로잉","30,000명(0.9%)
                ","
                3,300,000
              "
55,NCT,"#NCT, #엔시티","30,000명(0.8%)
                ","
                3,940,000
              "
56,TREASURE (트레저),"#TREASURE, #트레저","30,000명(0.7%)
                ","
                4,150,000
              "
57,[장난감티비]TOYTV,"#교육, #toy","30,000명(0.6%)
                ","
                5,340,000
              "
58,M2,"#M2, #엠투","30,000명(0.4%)
                ","
                7,390,000
              "
59,단편short,,"29,300명(42.3%)
                ","
                69,200
              "
60,Ace Art 에이스 아트,"#animation, #에이스아트","28,000명(7.4%)
                ","
                380,000
              "
61,롤롤라임[lollolraim],"#라임이, #롤롤라임","28,000명(5%)
                ","
                565,000
              "
62,촛불잔치,"#윤석열, #조국의시간","27,200명(67.8%)
                ","
                40,100
              "
63,스튜디오 와플 - STUDIO WAFFLE,"#코미디빅리그, #코빅","27,000명(18.1%)
                ","
                149,000
              "
64,고누리,"#만화, #애니메이션","27,000명(9%)
                ","
                299,000
              "
65,스마일밤 Smile Bam,"#ASMR, #stop","26,000명(3.4%)
                ","
                775,000
              "
66,어스TV,"#fnf, #프라이데이나이트펌킨","25,000명(12.3%)
                ","
                204,000
              "
67,성공비밀 : 대한민국 NO.1 멘토링 채널,"#동기부여, #성공비밀","24,000명(13.5%)
                ","
                178,000
              "
68,钢铁西游-官方频道,"#钢铁西游, #vfx","24,000명(10%)
                ","
                241,000
              "
69,스타골프빅리그,"#스타골프빅리그, #골프","23,700명(27.1%)
                ","
                87,500
              "
70,애국방송 짤방,"#동영상, #Shorts","23,680명(89.7%)
                ","
                26,400
              "
71,Hello Jadoo Việt Nam,"#HTV3, #HTV","23,000명(14.6%)
                ","
                157,000
              "
72,Nebom 사계절의 네봄,"#일상, #자취생","23,000명(3.8%)
                ","
                599,000
              "
73,도시어부 Grrr,"#도시어부, #낚시","22,000명(10.3%)
                ","
                214,000
              "
74,Jihanette,,"22,000명(8.2%)
                ","
                267,000
              "
75,지켜츄 Chuu Can Do It,"#이달의소녀, #chuu","21,000명(3.7%)
                ","
                564,000
              "
76,엄마의손맛,"#한식, #집밥","21,000명(3.1%)
                ","
                684,000
              "
77,Mimine Miniature 미미네 미니어처,"#miniature, #미니어쳐","21,000명(2.6%)
                ","
                808,000
              "
78,약사가 들려주는 약 이야기,"#영양제, #마그네슘","21,000명(2.2%)
                ","
                947,000
              "
79,서울 부부의 귀촌일기,"#힐링, #귀촌일기","20,500명(25.7%)
                ","
                79,800
              "
